Place,Year,Month,Date,Rainfall [mm]
Little Knepp,2025,April,15,1
Little Knepp,2025,April,16,0
Little Knepp,2025,April,17,0
Little Knepp,2025,April,18,0
Little Knepp,2025,April,19,0
Little Knepp,2025,April,20,0
Little Knepp,2025,April,21,0
Little Knepp,2025,April,22,0
Little Knepp,2025,April,23,8
Little Knepp,2025,April,24,0
Little Knepp,2025,April,25,0
Little Knepp,2025,April,26,0
Little Knepp,2025,April,27,0
Little Knepp,2025,April,28,0
Little Knepp,2025,April,29,0
Little Knepp,2025,April,30,0
Little Knepp,2025,May,1,0
Little Knepp,2025,May,2,0
Little Knepp,2025,May,3,0
Little Knepp,2025,May,4,0
Little Knepp,2025,May,5,0
Little Knepp,2025,May,6,0
Little Knepp,2025,May,7,0
Little Knepp,2025,May,8,0
Little Knepp,2025,May,9,0
Little Knepp,2025,May,10,0
Little Knepp,2025,May,11,0
Little Knepp,2025,May,12,4
Little Knepp,2025,May,13,0
Little Knepp,2025,May,14,0
Little Knepp,2025,May,15,0
Little Knepp,2025,May,16,0
Little Knepp,2025,May,17,0
Little Knepp,2025,May,18,0
Little Knepp,2025,May,19,0
Little Knepp,2025,May,20,0
Little Knepp,2025,May,21,3
Little Knepp,2025,May,22,0
Little Knepp,2025,May,23,0
Little Knepp,2025,May,24,2
Little Knepp,2025,May,25,1
Little Knepp,2025,May,26,0
Little Knepp,2025,May,27,3
Little Knepp,2025,May,28,0
Little Knepp,2025,May,29,0
Little Knepp,2025,May,30,0
Little Knepp,2025,May,31,0
Little Knepp,2025,June,1,0
Little Knepp,2025,June,2,0
Little Knepp,2025,June,3,4
Little Knepp,2025,June,4,0
Little Knepp,2025,June,5,6
Little Knepp,2025,June,6,0
Little Knepp,2025,June,7,5
Little Knepp,2025,June,8,0
Little Knepp,2025,June,9,0
Little Knepp,2025,June,10,0
Little Knepp,2025,June,11,0
Little Knepp,2025,June,12,2
Little Knepp,2025,June,13,0
Little Knepp,2025,June,14,0
Little Knepp,2025,June,15,0
Little Knepp,2025,June,16,0
Little Knepp,2025,June,17,0
Little Knepp,2025,June,18,0
Little Knepp,2025,June,19,0
Little Knepp,2025,June,20,0
Little Knepp,2025,June,21,0
Little Knepp,2025,June,22,0
Little Knepp,2025,June,23,0
Little Knepp,2025,June,24,1
Little Knepp,2025,June,25,0
Little Knepp,2025,June,26,1
Little Knepp,2025,June,27,3
Little Knepp,2025,June,28,0
Little Knepp,2025,June,29,0
Little Knepp,2025,June,30,0
Little Knepp,2025,July,1,0
Little Knepp,2025,July,2,0
Little Knepp,2025,July,3,0
Little Knepp,2025,July,4,0
Little Knepp,2025,July,5,0
Little Knepp,2025,July,6,1
Little Knepp,2025,July,7,1
Little Knepp,2025,July,8,0
Little Knepp,2025,July,9,0
Little Knepp,2025,July,10,0
Little Knepp,2025,July,11,0
Little Knepp,2025,July,12,0
Little Knepp,2025,July,13,0
Little Knepp,2025,July,14,0
Little Knepp,2025,July,15,2
Little Knepp,2025,July,16,0
Little Knepp,2025,July,17,1
Little Knepp,2025,July,18,0
Little Knepp,2025,July,19,3
Little Knepp,2025,July,20,3
Little Knepp,2025,July,21,1
Little Knepp,2025,July,22,0
Little Knepp,2025,July,23,0
Little Knepp,2025,July,24,0
Little Knepp,2025,July,25,0
Little Knepp,2025,July,26,0
Little Knepp,2025,July,27,0
Little Knepp,2025,July,28,0
Little Knepp,2025,July,29,1
Little Knepp,2025,July,30,0
Little Knepp,2025,July,31,6
Little Knepp,2025,August,1,0
Little Knepp,2025,August,2,0
Little Knepp,2025,August,3,0
Little Knepp,2025,August,4,0
Little Knepp,2025,August,5,0
Little Knepp,2025,August,6,0
Little Knepp,2025,August,7,0
Little Knepp,2025,August,8,0
Little Knepp,2025,August,9,0
Little Knepp,2025,August,10,0
Little Knepp,2025,August,11,0
Little Knepp,2025,August,12,0
Little Knepp,2025,August,13,0
Little Knepp,2025,August,14,0
Little Knepp,2025,August,15,0
Little Knepp,2025,August,16,0
Little Knepp,2025,August,17,0
Little Knepp,2025,August,18,0
Little Knepp,2025,August,19,0
Little Knepp,2025,August,20,0
Little Knepp,2025,August,21,0
Little Knepp,2025,August,22,0
Little Knepp,2025,August,23,0
Little Knepp,2025,August,24,0
Little Knepp,2025,August,25,0
Little Knepp,2025,August,26,0
Little Knepp,2025,August,27,5
Little Knepp,2025,August,28,4
Little Knepp,2025,August,29,8
Little Knepp,2025,August,30,3
Little Knepp,2025,August,31,2
Little Knepp,2025,September,1,2
Little Knepp,2025,September,2,1
Little Knepp,2025,September,3,6
Little Knepp,2025,September,4,6
Little Knepp,2025,September,5,10
Little Knepp,2025,September,6,10
Little Knepp,2025,September,7,0
Little Knepp,2025,September,8,1
Little Knepp,2025,September,9,10
Little Knepp,2025,September,10,36
Little Knepp,2025,September,11,10
Little Knepp,2025,September,12,7
Little Knepp,2025,September,13,3
Little Knepp,2025,September,14,12
Little Knepp,2025,September,15,2
Little Knepp,2025,September,16,0
Little Knepp,2025,September,17,2
Little Knepp,2025,September,18,0
Little Knepp,2025,September,19,1
Little Knepp,2025,September,20,17
Little Knepp,2025,September,21,0
Little Knepp,2025,September,22,0
Little Knepp,2025,September,23,0
Little Knepp,2025,September,24,4
Little Knepp,2025,September,25,0
Little Knepp,2025,September,26,0
Little Knepp,2025,September,27,0
Little Knepp,2025,September,28,2
Little Knepp,2025,September,29,0
Little Knepp,2025,September,30,0
Little Knepp,2025,October,1,0
Little Knepp,2025,October,2,0
Little Knepp,2025,October,3,36
Little Knepp,2025,October,4,5
Little Knepp,2025,October,5,0
Little Knepp,2025,October,6,0
Little Knepp,2025,October,7,0
Little Knepp,2025,October,8,0
Little Knepp,2025,October,9,0
Little Knepp,2025,October,10,0
Little Knepp,2025,October,11,0
Little Knepp,2025,October,12,0
Little Knepp,2025,October,13,0
Little Knepp,2025,October,14,0
Little Knepp,2025,October,15,0
Little Knepp,2025,October,16,0
Little Knepp,2025,October,17,0
Little Knepp,2025,October,18,1
Little Knepp,2025,October,19,18
Little Knepp,2025,October,20,8
Little Knepp,2025,October,21,1
Little Knepp,2025,October,22,2
Little Knepp,2025,October,23,15
Little Knepp,2025,October,24,10
Little Knepp,2025,October,25,0
Little Knepp,2025,October,26,0
Little Knepp,2025,October,27,0
Little Knepp,2025,October,28,1
Little Knepp,2025,October,29,1
Little Knepp,2025,October,30,1
Little Knepp,2025,October,31,0
Little Knepp,2025,November,1,0
Little Knepp,2025,November,2,0
Little Knepp,2025,November,3,0
Little Knepp,2025,November,4,0
Little Knepp,2025,November,5,0
Little Knepp,2025,November,6,0
Little Knepp,2025,November,7,5
Little Knepp,2025,November,8,0
Little Knepp,2025,November,9,8
Little Knepp,2025,November,10,19
Little Knepp,2025,November,11,10
Little Knepp,2025,November,12,3
Little Knepp,2025,November,13,15
Little Knepp,2025,November,14,54
Little Knepp,2025,November,15,1
Little Knepp,2025,November,16,0
Little Knepp,2025,November,17,0
Little Knepp,2025,November,18,0
Little Knepp,2025,November,19,8
Little Knepp,2025,November,20,0
Little Knepp,2025,November,21,4
Little Knepp,2025,November,22,16
Little Knepp,2025,November,23,4
Little Knepp,2025,November,24,0
Little Knepp,2025,November,25,0
Little Knepp,2025,November,26,2
Little Knepp,2025,November,27,1
Little Knepp,2025,November,28,0
Little Knepp,2025,November,29,24
Little Knepp,2025,November,30,0
Little Knepp,2025,December,1,12
Little Knepp,2025,December,2,8
Little Knepp,2025,December,3,0
Little Knepp,2025,December,4,21
Little Knepp,2025,December,5,12
Little Knepp,2025,December,6,2
Little Knepp,2025,December,7,11
Little Knepp,2025,December,8,1
Little Knepp,2025,December,9,18
Little Knepp,2025,December,10,0
Little Knepp,2025,December,11,0
Little Knepp,2025,December,12,4
Little Knepp,2025,December,13,0
Little Knepp,2025,December,14,0
Little Knepp,2025,December,15,14
Little Knepp,2025,December,16,9
Little Knepp,2025,December,17,3
Little Knepp,2025,December,18,33
Little Knepp,2025,December,19,0
Little Knepp,2025,December,20,0
Little Knepp,2025,December,21,4
Little Knepp,2025,December,22,2
Little Knepp,2025,December,23,0
Little Knepp,2025,December,24,0
Little Knepp,2025,December,25,0
Little Knepp,2025,December,26,0
Little Knepp,2025,December,27,0
Little Knepp,2025,December,28,0
Little Knepp,2025,December,29,0
Little Knepp,2025,December,30,0
Little Knepp,2025,December,31,0
Little Knepp,2026,January,1,0
Little Knepp,2026,January,2,2
Little Knepp,2026,January,3,0
Little Knepp,2026,January,4,0
Little Knepp,2026,January,5,0
Little Knepp,2026,January,6,6
Little Knepp,2026,January,7,0
Little Knepp,2026,January,8,24
Little Knepp,2026,January,9,6
Little Knepp,2026,January,10,0
Little Knepp,2026,January,11,6
Little Knepp,2026,January,12,5
Little Knepp,2026,January,13,9
Little Knepp,2026,January,14,4
Little Knepp,2026,January,15,44
Little Knepp,2026,January,16,17
Little Knepp,2026,January,17,1
Little Knepp,2026,January,18,1
Little Knepp,2026,January,19,1
Little Knepp,2026,January,20,9
Little Knepp,2026,January,21,17
Little Knepp,2026,January,22,18
Little Knepp,2026,January,23,5
Little Knepp,2026,January,24,18
Little Knepp,2026,January,25,0
Little Knepp,2026,January,26,2
Little Knepp,2026,January,27,28
Little Knepp,2026,January,28,0
Little Knepp,2026,January,29,3
Little Knepp,2026,January,30,12
Little Knepp,2026,January,31,3
Little Knepp,2026,February,1,12
Little Knepp,2026,February,2,0
Little Knepp,2026,February,3,22
Little Knepp,2026,February,4,0
Little Knepp,2026,February,5,16
Little Knepp,2026,February,6,39
Little Knepp,2026,February,7,5
Little Knepp,2026,February,8,10
Little Knepp,2026,February,9,1
Little Knepp,2026,February,10,17
Little Knepp,2026,February,11,6
Little Knepp,2026,February,12,11
Little Knepp,2026,February,13,9
Little Knepp,2026,February,14,0
Little Knepp,2026,February,15,27
Little Knepp,2026,February,16,1
Little Knepp,2026,February,17,0
Little Knepp,2026,February,18,21
Little Knepp,2026,February,19,6
Little Knepp,2026,February,20,4
Little Knepp,2026,February,21,2
Little Knepp,2026,February,22,1
Little Knepp,2026,February,23,0
Little Knepp,2026,February,24,1
Little Knepp,2026,February,25,0
Little Knepp,2026,February,26,4
Little Knepp,2026,February,27,14
Little Knepp,2026,February,28,1
Little Knepp,2026,March,1,0
Little Knepp,2026,March,2,0
Little Knepp,2026,March,3,0
Little Knepp,2026,March,4,0
Little Knepp,2026,March,5,0
Little Knepp,2026,March,6,8
Little Knepp,2026,March,7,0
Little Knepp,2026,March,8,2
Little Knepp,2026,March,9,0
Little Knepp,2026,March,10,6
Little Knepp,2026,March,11,0
Little Knepp,2026,March,12,16
Little Knepp,2026,March,13,2
Little Knepp,2026,March,14,0
Little Knepp,2026,March,15,8
Little Knepp,2026,March,16,0
Little Knepp,2026,March,17,0
Little Knepp,2026,March,18,0
Little Knepp,2026,March,19,0
Little Knepp,2026,March,20,0
Little Knepp,2026,March,21,0
Little Knepp,2026,March,22,0
Little Knepp,2026,March,23,0
Little Knepp,2026,March,24,5
Little Knepp,2026,March,25,2
Little Knepp,2026,March,26,0
Little Knepp,2026,March,27,6
Little Knepp,2026,March,28,0
Little Knepp,2026,March,29,1
Little Knepp,2026,March,30,0
Little Knepp,2026,March,31,0
Little Knepp,2026,April,1,0
Little Knepp,2026,April,2,0
Little Knepp,2026,April,3,0
Little Knepp,2026,April,4,0
Little Knepp,2026,April,5,1
Little Knepp,2026,April,6,0
Little Knepp,2026,April,7,0
Little Knepp,2026,April,8,0
Little Knepp,2026,April,9,0
Little Knepp,2026,April,10,0
Little Knepp,2026,April,11,1
Little Knepp,2026,April,12,4
Little Knepp,2026,April,13,7
Little Knepp,2026,April,14,3
Little Knepp,2026,April,15,2
Little Knepp,2026,April,16,0
Little Knepp,2026,April,17,0
Little Knepp,2026,April,18,0
Little Knepp,2026,April,19,0
Little Knepp,2026,April,20,0
Little Knepp,2026,April,21,0
Little Knepp,2026,April,22,0
Little Knepp,2026,April,23,0
Little Knepp,2026,April,24,0
Little Knepp,2026,April,25,0
Little Knepp,2026,April,26,0
Little Knepp,2026,April,27,0
Little Knepp,2026,April,28,1
Little Knepp,2026,April,29,0
Little Knepp,2026,April,30,0
Little Knepp,2026,May,1,0
Little Knepp,2026,May,2,7
Little Knepp,2026,May,3,14
Little Knepp,2026,May,4,0
Little Knepp,2026,May,5,0
Little Knepp,2026,May,6,0
Little Knepp,2026,May,7,0
Little Knepp,2026,May,8,0
Little Knepp,2026,May,9,0
Little Knepp,2026,May,10,0
Little Knepp,2026,May,11,0
Little Knepp,2026,May,12,0
Little Knepp,2026,May,13,9
Little Knepp,2026,May,14,6
Little Knepp,2026,May,15,0
Little Knepp,2026,May,16,3
Little Knepp,2026,May,17,0
Little Knepp,2026,May,18,2
Little Knepp,2026,May,19,14
Little Knepp,2026,May,20,0
Little Knepp,2026,May,21,
Little Knepp,2026,May,22,
Little Knepp,2026,May,23,
Little Knepp,2026,May,24,
Little Knepp,2026,May,25,
Little Knepp,2026,May,26,
Little Knepp,2026,May,27,
Little Knepp,2026,May,28,
Little Knepp,2026,May,29,
Little Knepp,2026,May,30,
Little Knepp,2026,May,31,
