Place,Year,Month,Date,Rainfall [mm]
Cabilla,2025,March,9,0
Cabilla,2025,March,10,0.2
Cabilla,2025,March,11,0
Cabilla,2025,March,12,0.3
Cabilla,2025,March,13,0
Cabilla,2025,March,14,0
Cabilla,2025,March,15,0
Cabilla,2025,March,16,0
Cabilla,2025,March,17,0
Cabilla,2025,March,18,0
Cabilla,2025,March,19,0
Cabilla,2025,March,20,0.4
Cabilla,2025,March,21,6.9
Cabilla,2025,March,22,0
Cabilla,2025,March,23,0
Cabilla,2025,March,24,0
Cabilla,2025,March,25,0.3
Cabilla,2025,March,26,0
Cabilla,2025,March,27,3.7
Cabilla,2025,March,28,0
Cabilla,2025,March,29,0.9
Cabilla,2025,March,30,0
Cabilla,2025,March,31,0
Cabilla,2025,April,1,0
Cabilla,2025,April,2,0
Cabilla,2025,April,3,4.6
Cabilla,2025,April,4,0
Cabilla,2025,April,5,0
Cabilla,2025,April,6,0
Cabilla,2025,April,7,0
Cabilla,2025,April,8,0
Cabilla,2025,April,9,0
Cabilla,2025,April,10,0
Cabilla,2025,April,11,0
Cabilla,2025,April,12,3
Cabilla,2025,April,13,0
Cabilla,2025,April,14,18.1
Cabilla,2025,April,15,37
Cabilla,2025,April,16,0.3
Cabilla,2025,April,17,14.7
Cabilla,2025,April,18,34.6
Cabilla,2025,April,19,0
Cabilla,2025,April,20,0.5
Cabilla,2025,April,21,0
Cabilla,2025,April,22,19.4
Cabilla,2025,April,23,0
Cabilla,2025,April,24,0
Cabilla,2025,April,25,4.4
Cabilla,2025,April,26,0
Cabilla,2025,April,27,0
Cabilla,2025,April,28,0
Cabilla,2025,April,29,0
Cabilla,2025,April,30,0
Cabilla,2025,May,1,0
Cabilla,2025,May,2,0
Cabilla,2025,May,3,0
Cabilla,2025,May,4,0
Cabilla,2025,May,5,0
Cabilla,2025,May,6,0
Cabilla,2025,May,7,0
Cabilla,2025,May,8,0
Cabilla,2025,May,9,0
Cabilla,2025,May,10,2.6
Cabilla,2025,May,11,6.7
Cabilla,2025,May,12,0
Cabilla,2025,May,13,0
Cabilla,2025,May,14,0
Cabilla,2025,May,15,0
Cabilla,2025,May,16,0
Cabilla,2025,May,17,0
Cabilla,2025,May,18,0
Cabilla,2025,May,19,0
Cabilla,2025,May,20,1.3
Cabilla,2025,May,21,0
Cabilla,2025,May,22,0
Cabilla,2025,May,23,0.9
Cabilla,2025,May,24,4.2
Cabilla,2025,May,25,0.9
Cabilla,2025,May,26,9
Cabilla,2025,May,27,11.2
Cabilla,2025,May,28,0.4
Cabilla,2025,May,29,0
Cabilla,2025,May,30,0
Cabilla,2025,May,31,0.4
Cabilla,2025,June,1,0
Cabilla,2025,June,2,9.6
Cabilla,2025,June,3,0.2
Cabilla,2025,June,4,4.9
Cabilla,2025,June,5,4.4
Cabilla,2025,June,6,5.1
Cabilla,2025,June,7,14.6
Cabilla,2025,June,8,0
Cabilla,2025,June,9,1.4
Cabilla,2025,June,10,0
Cabilla,2025,June,11,9.4
Cabilla,2025,June,12,6
Cabilla,2025,June,13,21.6
Cabilla,2025,June,14,2
Cabilla,2025,June,15,0
Cabilla,2025,June,16,0
Cabilla,2025,June,17,0
Cabilla,2025,June,18,0
Cabilla,2025,June,19,0
Cabilla,2025,June,20,0.3
Cabilla,2025,June,21,1.4
Cabilla,2025,June,22,0.7
Cabilla,2025,June,23,0.9
Cabilla,2025,June,24,0.4
Cabilla,2025,June,25,1.9
Cabilla,2025,June,26,0.1
Cabilla,2025,June,27,1.4
Cabilla,2025,June,28,0.1
Cabilla,2025,June,29,0
Cabilla,2025,June,30,0
Cabilla,2025,July,1,0
Cabilla,2025,July,2,0
Cabilla,2025,July,3,0
Cabilla,2025,July,4,1.1
Cabilla,2025,July,5,6.7
Cabilla,2025,July,6,2.7
Cabilla,2025,July,7,0
Cabilla,2025,July,8,0
Cabilla,2025,July,9,0
Cabilla,2025,July,10,0
Cabilla,2025,July,11,0
Cabilla,2025,July,12,0
Cabilla,2025,July,13,2
Cabilla,2025,July,14,0.2
Cabilla,2025,July,15,4.3
Cabilla,2025,July,16,4.1
Cabilla,2025,July,17,5.8
Cabilla,2025,July,18,0.1
Cabilla,2025,July,19,12.9
Cabilla,2025,July,20,6.3
Cabilla,2025,July,21,5.7
Cabilla,2025,July,22,2.7
Cabilla,2025,July,23,0
Cabilla,2025,July,24,0
Cabilla,2025,July,25,2.1
Cabilla,2025,July,26,0.3
Cabilla,2025,July,27,0.4
Cabilla,2025,July,28,2.8
Cabilla,2025,July,29,0.3
Cabilla,2025,July,30,1.2
Cabilla,2025,July,31,1.3
Cabilla,2025,August,1,0
Cabilla,2025,August,2,0.5
Cabilla,2025,August,3,0.9
Cabilla,2025,August,4,6.9
Cabilla,2025,August,5,0
Cabilla,2025,August,6,0
Cabilla,2025,August,7,1.8
Cabilla,2025,August,8,0
Cabilla,2025,August,9,0
Cabilla,2025,August,10,0
Cabilla,2025,August,11,0.1
Cabilla,2025,August,12,0
Cabilla,2025,August,13,1.3
Cabilla,2025,August,14,0
Cabilla,2025,August,15,0
Cabilla,2025,August,16,0
Cabilla,2025,August,17,0
Cabilla,2025,August,18,2.3
Cabilla,2025,August,19,0.8
Cabilla,2025,August,20,0
Cabilla,2025,August,21,0
Cabilla,2025,August,22,0.2
Cabilla,2025,August,23,0.1
Cabilla,2025,August,24,0
Cabilla,2025,August,25,1.7
Cabilla,2025,August,26,4.2
Cabilla,2025,August,27,0.4
Cabilla,2025,August,28,21.5
Cabilla,2025,August,29,0.3
Cabilla,2025,August,30,7.4
Cabilla,2025,August,31,6.1
Cabilla,2025,September,1,7.5
Cabilla,2025,September,2,13.5
Cabilla,2025,September,3,8.6
Cabilla,2025,September,4,7.3
Cabilla,2025,September,5,0
Cabilla,2025,September,6,1.5
Cabilla,2025,September,7,17.9
Cabilla,2025,September,8,3.4
Cabilla,2025,September,9,18
Cabilla,2025,September,10,2.9
Cabilla,2025,September,11,22.2
Cabilla,2025,September,12,2.2
Cabilla,2025,September,13,0.3
Cabilla,2025,September,14,10.1
Cabilla,2025,September,15,1.7
Cabilla,2025,September,16,10
Cabilla,2025,September,17,3.2
Cabilla,2025,September,18,0.2
Cabilla,2025,September,19,2.4
Cabilla,2025,September,20,10.5
Cabilla,2025,September,21,0
Cabilla,2025,September,22,0
Cabilla,2025,September,23,0
Cabilla,2025,September,24,0
Cabilla,2025,September,25,0
Cabilla,2025,September,26,0
Cabilla,2025,September,27,7.9
Cabilla,2025,September,28,0
Cabilla,2025,September,29,0
Cabilla,2025,September,30,0
Cabilla,2025,October,1,0
Cabilla,2025,October,2,6
Cabilla,2025,October,3,10.8
Cabilla,2025,October,4,2.7
Cabilla,2025,October,5,0
Cabilla,2025,October,6,0
Cabilla,2025,October,7,0.2
Cabilla,2025,October,8,0.1
Cabilla,2025,October,9,0
Cabilla,2025,October,10,0
Cabilla,2025,October,11,0
Cabilla,2025,October,12,0
Cabilla,2025,October,13,0
Cabilla,2025,October,14,0
Cabilla,2025,October,15,0
Cabilla,2025,October,16,0
Cabilla,2025,October,17,0
Cabilla,2025,October,18,23.4
Cabilla,2025,October,19,23.1
Cabilla,2025,October,20,10.1
Cabilla,2025,October,21,0.5
Cabilla,2025,October,22,14.8
Cabilla,2025,October,23,5.5
Cabilla,2025,October,24,9.4
Cabilla,2025,October,25,0.7
Cabilla,2025,October,26,4.7
Cabilla,2025,October,27,1.4
Cabilla,2025,October,28,1.9
Cabilla,2025,October,29,3.7
Cabilla,2025,October,30,9.1
Cabilla,2025,October,31,4.1
Cabilla,2025,November,1,5.2
Cabilla,2025,November,2,0.5
Cabilla,2025,November,3,3
Cabilla,2025,November,4,35.2
Cabilla,2025,November,5,1.4
Cabilla,2025,November,6,1.1
Cabilla,2025,November,7,11.8
Cabilla,2025,November,8,0.1
Cabilla,2025,November,9,10.6
Cabilla,2025,November,10,3.6
Cabilla,2025,November,11,15.1
Cabilla,2025,November,12,4.1
Cabilla,2025,November,13,11.9
Cabilla,2025,November,14,15.1
Cabilla,2025,November,15,0
Cabilla,2025,November,16,0
Cabilla,2025,November,17,1
Cabilla,2025,November,18,4.5
Cabilla,2025,November,19,20.2
Cabilla,2025,November,20,3
Cabilla,2025,November,21,4.4
Cabilla,2025,November,22,12.1
Cabilla,2025,November,23,6.9
Cabilla,2025,November,24,3.4
Cabilla,2025,November,25,0.4
Cabilla,2025,November,26,2.7
Cabilla,2025,November,27,2.8
Cabilla,2025,November,28,14.2
Cabilla,2025,November,29,2.2
Cabilla,2025,November,30,10.9
Cabilla,2025,December,1,16.6
Cabilla,2025,December,2,1.6
Cabilla,2025,December,3,15.4
Cabilla,2025,December,4,3.2
Cabilla,2025,December,5,39.9
Cabilla,2025,December,6,10.6
Cabilla,2025,December,7,7.1
Cabilla,2025,December,8,36.7
Cabilla,2025,December,9,6.4
Cabilla,2025,December,10,0
Cabilla,2025,December,11,18.5
Cabilla,2025,December,12,0
Cabilla,2025,December,13,0
Cabilla,2025,December,14,25.7
Cabilla,2025,December,15,6.4
Cabilla,2025,December,16,0.9
Cabilla,2025,December,17,17.8
Cabilla,2025,December,18,12.1
Cabilla,2025,December,19,2.7
Cabilla,2025,December,20,9.1
Cabilla,2025,December,21,5.4
Cabilla,2025,December,22,3.1
Cabilla,2025,December,23,0.6
Cabilla,2025,December,24,0
Cabilla,2025,December,25,0
Cabilla,2025,December,26,0
Cabilla,2025,December,27,0
Cabilla,2025,December,28,0
Cabilla,2025,December,29,0
Cabilla,2025,December,30,0
Cabilla,2025,December,31,1.1
Cabilla,2026,January,1,1.4
Cabilla,2026,January,2,1.3
Cabilla,2026,January,3,1.5
Cabilla,2026,January,4,5.3
Cabilla,2026,January,5,1.8
Cabilla,2026,January,6,3.2
Cabilla,2026,January,7,5.5
Cabilla,2026,January,8,30.3
Cabilla,2026,January,9,5.7
Cabilla,2026,January,10,9
Cabilla,2026,January,11,16.3
Cabilla,2026,January,12,8.4
Cabilla,2026,January,13,0.3
Cabilla,2026,January,14,2.6
Cabilla,2026,January,15,3.9
Cabilla,2026,January,16,4.8
Cabilla,2026,January,17,2.6
Cabilla,2026,January,18,0
Cabilla,2026,January,19,10.2
Cabilla,2026,January,20,29.1
Cabilla,2026,January,21,24.1
Cabilla,2026,January,22,13.9
Cabilla,2026,January,23,43.3
Cabilla,2026,January,24,17.7
Cabilla,2026,January,25,0.1
Cabilla,2026,January,26,55.1
Cabilla,2026,January,27,3
Cabilla,2026,January,28,10.6
Cabilla,2026,January,29,15.8
Cabilla,2026,January,30,8
Cabilla,2026,January,31,7.4
Cabilla,2026,February,1,2.4
Cabilla,2026,February,2,4.8
Cabilla,2026,February,3,2.5
Cabilla,2026,February,4,10.4
Cabilla,2026,February,5,10.3
Cabilla,2026,February,6,9.9
Cabilla,2026,February,7,4.1
Cabilla,2026,February,8,7.8
Cabilla,2026,February,9,16.7
Cabilla,2026,February,10,11.1
Cabilla,2026,February,11,5.8
Cabilla,2026,February,12,3.3
Cabilla,2026,February,13,3.4
Cabilla,2026,February,14,12.9
Cabilla,2026,February,15,8.8
Cabilla,2026,February,16,1
Cabilla,2026,February,17,9.2
Cabilla,2026,February,18,8
Cabilla,2026,February,19,0.7
Cabilla,2026,February,20,3.2
Cabilla,2026,February,21,9.8
Cabilla,2026,February,22,0.6
Cabilla,2026,February,23,0.9
Cabilla,2026,February,24,0
Cabilla,2026,February,25,0.2
Cabilla,2026,February,26,22.2
Cabilla,2026,February,27,8.9
Cabilla,2026,February,28,3.7
Cabilla,2026,March,1,3.6
Cabilla,2026,March,2,2.6
Cabilla,2026,March,3,0
Cabilla,2026,March,4,0
Cabilla,2026,March,5,3.4
Cabilla,2026,March,6,0
Cabilla,2026,March,7,0
Cabilla,2026,March,8,1.5
Cabilla,2026,March,9,0.2
Cabilla,2026,March,10,7.4
Cabilla,2026,March,11,0
Cabilla,2026,March,12,13
Cabilla,2026,March,13,4
Cabilla,2026,March,14,0
Cabilla,2026,March,15,3.2
Cabilla,2026,March,16,0.7
Cabilla,2026,March,17,0
Cabilla,2026,March,18,0
Cabilla,2026,March,19,0
Cabilla,2026,March,20,0
Cabilla,2026,March,21,0
Cabilla,2026,March,22,0
Cabilla,2026,March,23,0
Cabilla,2026,March,24,3.9
Cabilla,2026,March,25,0
Cabilla,2026,March,26,1.7
Cabilla,2026,March,27,4.8
Cabilla,2026,March,28,0
Cabilla,2026,March,29,6.6
Cabilla,2026,March,30,0
Cabilla,2026,March,31,0
Cabilla,2026,April,1,0
Cabilla,2026,April,2,7.1
Cabilla,2026,April,3,1.1
Cabilla,2026,April,4,1.1
Cabilla,2026,April,5,0
Cabilla,2026,April,6,0
Cabilla,2026,April,7,0
Cabilla,2026,April,8,0
Cabilla,2026,April,9,0
Cabilla,2026,April,10,5.5
Cabilla,2026,April,11,1.8
Cabilla,2026,April,12,0
Cabilla,2026,April,13,12.4
Cabilla,2026,April,14,1.2
Cabilla,2026,April,15,3.9
Cabilla,2026,April,16,0.5
Cabilla,2026,April,17,3.7
Cabilla,2026,April,18,0
Cabilla,2026,April,19,0
Cabilla,2026,April,20,0
Cabilla,2026,April,21,0
Cabilla,2026,April,22,0
Cabilla,2026,April,23,0
Cabilla,2026,April,24,0
Cabilla,2026,April,25,0
Cabilla,2026,April,26,0
Cabilla,2026,April,27,0
Cabilla,2026,April,28,0
Cabilla,2026,April,29,0
Cabilla,2026,April,30,3.7
Cabilla,2026,May,1,0
Cabilla,2026,May,2,9.8
Cabilla,2026,May,3,0.4
Cabilla,2026,May,4,0
Cabilla,2026,May,5,0.7
Cabilla,2026,May,6,8.6
Cabilla,2026,May,7,0
Cabilla,2026,May,8,0
Cabilla,2026,May,9,0
Cabilla,2026,May,10,0
Cabilla,2026,May,11,0
Cabilla,2026,May,12,2.7
Cabilla,2026,May,13,1.8
Cabilla,2026,May,14,0.4
Cabilla,2026,May,15,2.6
Cabilla,2026,May,16,1.1
Cabilla,2026,May,17,8.4
Cabilla,2026,May,18,14.1
Cabilla,2026,May,19,3.8
Cabilla,2026,May,20,0.1
Cabilla,2026,May,21,
Cabilla,2026,May,22,
Cabilla,2026,May,23,
Cabilla,2026,May,24,
Cabilla,2026,May,25,1.8
Cabilla,2026,May,26,
Cabilla,2026,May,27,0.8
Cabilla,2026,May,28,
Cabilla,2026,May,29,
Cabilla,2026,May,30,0.6
Cabilla,2026,May,31,0.6
Cabilla,2026,June,1,19.4
Cabilla,2026,June,2,3.1
Cabilla,2026,June,3,6.4
Cabilla,2026,June,4,2.5
Cabilla,2026,June,5,33
Cabilla,2026,June,6,2.8
Cabilla,2026,June,7,6.2
Cabilla,2026,June,8,3.1
Cabilla,2026,June,9,1.6
Cabilla,2026,June,10,2.4
Cabilla,2026,June,11,3.4
Cabilla,2026,June,12,0.2
Cabilla,2026,June,13,0
Cabilla,2026,June,14,0
Cabilla,2026,June,15,0.5
Cabilla,2026,June,16,3.4
Cabilla,2026,June,17,0.7
Cabilla,2026,June,18,0.7
Cabilla,2026,June,19,5.3
Cabilla,2026,June,20,0
Cabilla,2026,June,21,0
Cabilla,2026,June,22,0
Cabilla,2026,June,23,0
Cabilla,2026,June,24,0
Cabilla,2026,June,25,1.4
Cabilla,2026,June,26,0
Cabilla,2026,June,27,0.3
Cabilla,2026,June,28,0.2
Cabilla,2026,June,29,
Cabilla,2026,June,30,3.7
