Recent_2021_2025_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg
54,10.5,5.5,212.12,1.36,-983.925
55,11.3,6.26,218.38,1.12,-987.15
56,9.9,4.92,223.3,0,-989.4
57,9.8,4.76,228.06,1.48,-989.05
58,9.8,4.84,232.9,0.06,-989.525
59,10.4,5.38,238.28,2.9,-986.525
60,9.1,4.12,242.4,2.4,-984.5
61,8.4,3.42,245.82,2.26,-939.6
62,9.1,4.06,249.88,1.22,-938.64
63,8.6,3.62,253.5,0.04,-941.94
64,8.9,3.88,257.38,0.14,-944.98
65,10.3,5.26,262.64,1.42,-951.78
66,9.3,4.32,266.96,0.3,-960.32
67,10.4,6.02,272.98,2.3,-963.36
68,12.0,7.02,280,2.94,-973.12
69,11.1,6.06,286.06,1.48,-984.28
70,10.2,5.18,291.24,3.44,-992.12
71,10.6,5.58,296.82,3.62,-996.8
72,11.5,6.5,303.32,1.6,-1009.1
73,11.0,5.96,309.28,0.72,-1016.06
74,12.2,7.2,316.48,2.02,-1024.86
75,12.5,7.52,324,4.28,-1027.72
76,11.8,6.84,330.84,1.98,-1038.84
77,13.0,7.992,338.832,0.66,-1050.144
78,13.1,8.06,346.892,0.1,-1064.964
79,13.5,8.52,355.412,0.7,-1081.384
80,15.5,10.52,365.932,1.46,-1099.524
81,16.2,11.2,377.132,2.68,-1118.204
82,14.7,9.72,386.852,1.12,-1136.364
83,14.2,9.24,396.092,1.8,-1150.284
84,14.7,9.66,405.752,2.64,-1164.764
85,13.0,8,413.752,0.74,-1177.184
86,13.3,8.32,422.072,2.14,-1188.564
87,12.7,7.72,429.792,2.94,-1195.924
88,13.4,8.4,438.192,3.22,-1207.044
89,14.8,9.78,447.972,3.04,-1215.124
90,14.4,9.38,457.352,3.12,-1222.924
91,11.9,6.94,464.292,0.86,-1232.624
92,12.8,7.78,472.072,0.18,-1241.644
93,13.0,7.96,480.032,1.8,-1247.184
94,16.1,11.06,491.092,1.12,-1255.904
95,13.6,8.62,499.712,1.38,-1261.004
96,14.0,9.04,508.752,1.32,-1270.584
97,13.8,8.76,517.512,0.5,-1279.304
98,14.1,9.06,526.572,0.4,-1290.024
99,14.7,9.7,536.272,2.12,-1309.924
100,12.5,7.54,543.812,1.8,-1323.204
101,15.1,10.1,553.912,2.74,-1335.464
102,15.3,10.32,564.232,1.66,-1350.744
103,15.4,10.36,574.592,0.7,-1366.124
104,14.5,9.54,584.132,1.7,-1379.664
105,15.1,10.12,594.252,0.9,-1395.884
106,13.9,8.92,603.172,0.36,-1405.784
107,15.4,10.4,613.572,0.5,-1414.744
108,14.6,9.58,623.152,0,-1423.164
109,15.7,10.68,633.832,0.02,-1438.404
110,16.3,11.3,645.132,0.2,-1448.844
111,14.1,9.1,654.232,0.1,-1454.764
112,14.2,9.2,663.432,0.44,-1459.104
113,14.5,9.5,672.932,2.32,-1463.684
114,14.0,9.04,681.972,1.42,-1469.564
115,13.1,8.06,690.032,0,-1476.044
116,13.6,8.56,698.592,0,-1481.764
117,14.4,9.4,707.992,4.58,-1486.144
118,14.5,9.54,717.532,6.14,-1491.044
119,15.4,10.36,727.892,0.18,-1501.964
120,17.1,12.12,740.012,0,-1518.344
121,17.6,12.64,752.652,0.24,-1537.544
122,16.9,11.86,764.512,0.94,-1555.744
123,15.1,10.12,774.632,3.38,-1565.704
124,14.9,9.92,784.552,2.18,-1576.164
125,16.9,11.9,796.452,1.32,-1591.024
126,16.1,8.84,805.292,2.48,-1595.124
127,18.4,13.44,818.732,3.22,-1610.444
128,16.6,11.64,830.372,2.9,-1622.244
129,19.7,14.66,845.032,0.74,-1639.724
130,19.7,14.74,859.772,1.38,-1657.184
131,20.1,15.06,874.832,1.42,-1678.964
132,18.8,13.8,888.632,1.32,-1697.704
133,19.2,14.16,902.792,3.7,-1710.924
134,19.0,13.96,916.752,1.56,-1726.084
135,16.6,11.62,928.372,2.68,-1734.264
136,18.8,13.84,942.212,0.4,-1750.784
137,18.8,13.84,956.052,1.12,-1765.644
138,19.1,14.1,970.152,2.88,-1775.64
139,18.9,13.94,984.092,3.42,-1784.08
140,18.8,13.8,997.892,0.46,-1794.88
141,18.1,13.1,1010.992,1.78,-1799.72
142,17.6,12.6,1023.592,3.96,-1801.24
143,17.4,12.44,1036.032,3.12,-1804.68
144,18.1,13.06,1049.092,1.48,-1812.64
145,17.7,12.68,1061.772,0.22,-1821.1
146,18.9,13.86,1075.632,0.82,-1832.74
147,19.2,14.22,1089.852,1.74,-1844.94
148,19.1,14.08,1103.932,0.3,-1860.3
149,19.3,14.32,1118.252,1.24,-1874.12
150,19.2,14.24,1132.492,0.22,-1885.86
151,19.7,14.7,1147.192,0.9,-1898.72
152,19.2,14.18,1161.372,0,-1914.06
153,20.7,15.72,1177.092,0,-1930.12
154,21.1,16.08,1193.172,1.16,-1947
155,19.4,14.44,1207.612,3.84,-1951.04
156,17.2,12.18,1219.792,3.48,-1956.06
157,18.2,13.18,1232.972,0.08,-1965.58
158,19.5,14.46,1247.432,1.1,-1976.38
159,20.4,15.42,1262.852,0.46,-1989.04
160,21.3,16.34,1279.192,0.1,-2004.34
161,22.6,17.64,1296.832,0.96,-2025.38
162,22.2,17.2,1314.032,1.62,-2040.7
163,22.0,17.04,1331.072,0.54,-2055.26
164,23.8,18.84,1349.912,0,-2072.92
165,23.4,18.4,1368.312,0.34,-2092
166,24.0,19.02,1387.332,1.24,-2109.46
167,24.9,19.94,1407.272,0.4,-2131.46
168,25.0,19.96,1427.232,4.06,-2147.02
169,21.5,16.5,1443.732,5.64,-2155.22
170,21.9,16.94,1460.672,6.72,-2161.04
171,21.7,16.74,1477.412,0.06,-2172.06
172,23.5,18.46,1495.872,1.48,-2189.4
173,23.7,18.72,1514.592,0.06,-2208.82
174,22.8,17.82,1532.412,0.12,-2227.66
175,23.6,18.6,1551.012,0.62,-2247.58
176,24.0,19.04,1570.052,0,-2269.54
177,22.8,17.84,1587.892,0.4,-2287.7
178,23.2,18.2,1606.092,2.54,-2307.34
179,22.4,17.44,1623.532,0.76,-2328.52
180,22.0,16.96,1640.492,0,-2341.9
181,22.7,17.7,1658.192,1.78,-2351.28
182,22.4,17.4,1675.592,0,-2361.04
183,20.8,15.84,1691.432,0.88,-2369.06
184,21.1,16.06,1707.492,1.46,-2382.86
185,20.6,15.62,1723.112,3.18,-2393.26
186,21.0,16.04,1739.152,2.6,-2400.26
187,21.2,16.24,1755.392,6.46,-2413.08
188,22.6,17.56,1772.952,1.22,-2423.32
189,24.0,19.04,1791.992,0.74,-2440.28
190,24.0,19.04,1811.032,2.92,-2446.86
191,24.4,19.38,1830.412,2.4,-2455.12
192,25.2,20.16,1850.572,1.86,-2464.88
193,24.9,19.92,1870.492,0.28,-2478.16
194,23.9,18.88,1889.372,0.18,-2491.12
195,22.0,17.02,1906.392,4.94,-2493.86
196,21.8,16.78,1923.172,0.52,-2506.34
197,23.6,18.64,1941.812,3.18,-2513.16
198,25.4,20.38,1962.192,0.4,-2526.96
199,27.8,22.78,1984.972,0.22,-2546.98
200,28.2,23.16,2008.132,0.6,-2568.24
201,25.7,20.66,2028.792,0.6,-2581.82
202,23.6,18.64,2047.432,0.66,-2594.02
203,23.1,18.14,2065.572,3.02,-2606.04
204,23.5,18.48,2084.052,0.86,-2620.38
205,22.3,17.3,2101.352,0.76,-2629.58
206,22.5,17.52,2118.872,0.1,-2639.38
207,23.1,18.1,2136.972,3.46,-2645.22
208,22.4,17.42,2154.392,3.08,-2650.28
209,22.7,17.68,2172.072,0.48,-2657.3
210,23.6,18.56,2190.632,0.8,-2666.22
211,23.0,17.96,2208.592,2.56,-2671.32
212,23.2,18.22,2226.812,1.86,-2677.4
213,23.8,18.8,2245.612,0.86,-2685.78
214,23.5,18.5,2264.112,3.7,-2687.64
215,24.0,19.02,2283.132,0.06,-2694.62
216,22.1,17.076,2300.208,0.88,-2702.852
217,21.2,16.18,2316.388,3.24,-2711.092
218,22.5,17.54,2333.928,0.38,-2719.512
219,22.9,17.92,2351.848,0.2,-2727.332
220,22.4,17.38,2369.228,1.12,-2730.592
221,24.4,19.36,2388.588,0.1,-2736.632
222,25.9,20.94,2409.528,0,-2744.192
223,27.1,22.1,2431.628,0,-2755.612
224,27.3,22.34,2453.968,1.5,-2765.252
225,26.9,21.86,2475.828,1.72,-2769.572
226,26.0,21.02,2496.848,0,-2775.152
227,24.5,19.5,2516.348,0.66,-2776.692
228,22.5,17.52,2533.868,0.58,-2771.672
229,23.2,18.22,2552.088,1.74,-2770.512
230,23.0,18,2570.088,0.2,-2778.952
231,23.3,18.28,2588.368,0.12,-2788.232
232,22.2,17.16,2605.528,0.28,-2788.852
233,22.1,17.064,2622.592,2.84,-2784.7
234,22.8,17.76,2640.352,0.02,-2782.82
235,23.9,18.88,2659.232,0.56,-2784.5
236,24.3,19.34,2678.572,3.04,-2783.56
237,20.9,15.9,2694.472,2.94,-2774.34
238,21.0,15.96,2710.432,0.14,-2770.84
239,21.4,16.38,2726.812,1.04,-2768.7
240,22.4,17.36,2744.172,0.8,-2768.5
241,21.5,16.5,2760.672,1.88,-2765.7
242,20.3,15.3,2775.972,0.66,-2762.02
243,20.3,15.26,2791.232,1.3,-2756.44
244,20.5,15.52,2806.752,0.48,-2756.2
245,22.3,17.3,2824.052,0.22,-2759.92
246,22.7,17.72,2841.772,1.58,-2765.72
247,21.8,16.8,2858.572,2.92,-2766.92
248,23.6,18.58,2877.152,4.9,-2773.16
249,23.8,18.8,2895.952,3.6,-2773.26
250,25.4,20.44,2916.392,0.38,-2776.42
251,23.3,18.3,2934.692,3.22,-2774.64
252,23.5,18.52,2953.212,2.34,-2772.98
253,21.3,16.32,2969.532,7.32,-2759.84
254,20.7,15.7,2985.232,3.28,-2748.4
255,19.8,14.82,3000.052,2.1,-2738.36
256,18.2,13.2,3013.252,5.58,-2730.08
257,19.4,14.42,3027.672,2.44,-2723.44
258,20.1,15.08,3042.752,0.4,-2719.1
259,19.9,14.92,3057.672,0.22,-2708.36
260,19.7,14.7,3072.372,6.7,-2685.72
261,20.3,15.34,3087.712,0.36,-2670.32
262,21.0,16.02,3103.732,0.24,-2661.4
263,20.0,15.02,3118.752,7.76,-2647.06
264,19.3,14.26,3133.012,0.46,-2641.86
265,18.8,13.8,3146.812,1.02,-2632.34
266,19.3,14.34,3161.152,15.42,-2611.76
267,19.1,14.06,3175.212,9.24,-2595.7
268,18.4,13.4,3188.612,0.54,-2589.22
269,18.0,12.96,3201.572,4.16,-2579.22
270,17.1,12.12,3213.692,3.28,-2565.3
271,16.3,11.34,3225.032,6.4,-2545.26
272,16.6,11.6,3236.632,0.44,-2534.66
273,16.9,11.88,3248.512,4.36,-2519.48
274,18.3,13.32,3261.832,0.2,-2509.18
275,16.6,11.6,3273.432,6.58,-2492.5
276,17.3,12.32,3285.752,7.5,-2471.66
277,17.0,11.98,3297.732,3.32,-2459.028
278,16.9,11.92,3309.652,0.14,-2453.608
279,18.6,13.56,3323.212,0.08,-2445.948
280,18.5,13.54,3336.752,2.24,-2435.148
281,18.5,13.52,3350.272,0.56,-2427.988
282,18.0,13.04,3363.312,3.8,-2411.648
283,16.9,11.88,3375.192,0.56,-2392.968
284,15.5,10.46,3385.652,2.5,-2367.188
285,15.2,10.2,3395.852,3.78,-2340.628
286,16.7,11.66,3407.512,6.94,-2315.008
287,14.3,9.26,3416.772,1.96,-2289.528
288,13.2,8.24,3425.012,0.72,-2266.948
289,15.1,10.06,3435.072,1.2,-2251.408
290,16.9,11.86,3446.932,0.66,-2239.768
291,17.1,12.08,3459.012,3.74,-2224.388
292,17.4,12.42,3471.432,16.32,-2196.468
293,16.6,11.6,3483.032,5.46,-2180.168
294,14.8,9.8,3492.832,2.6,-2165.88
295,15.0,9.98,3502.812,3.68,-2146.66
296,15.2,10.16,3512.972,6.74,-2123.04
297,15.2,10.2,3523.172,2.72,-2105.08
298,14.9,9.92,3533.092,0.4,-2095.66
299,15.9,10.88,3543.972,0.46,-2085.18
300,15.5,10.54,3554.512,0.2,-2074.34
301,15.4,10.36,3564.872,2.92,-2058.22
302,14.9,9.9,3574.772,1.12,-2045.78
303,15.1,10.12,3584.892,3.14,-2032.94
304,14.2,9.18,3594.072,4.1,-2017.98
305,13.6,8.64,3602.712,4.12,-2000.58
306,11.9,6.88,3609.592,3.08,-1976.88
307,12.8,7.8,3617.392,1.46,-1957.16
308,12.4,7.44,3624.832,0.26,-1941.1
309,12.7,7.74,3632.572,0.42,-1923.9
310,13.5,8.52,3641.092,1,-1905.94
311,13.6,8.56,3649.652,2.9,-1879.66
312,13.5,8.46,3658.112,1.7,-1861.5
313,12.0,5.58,3663.692,3.52,-1832.44
314,12.0,7.02,3670.712,3.94,-1817.22
315,13.6,8.62,3679.332,2.5,-1803.84
316,14.1,9.14,3688.472,4.44,-1790.14
317,14.2,9.18,3697.652,3.3,-1784.38
318,12.5,7.46,3705.112,12.96,-1759.94
319,12.6,7.58,3712.692,1.7,-1743.64
320,10.3,5.32,3718.012,3.6,-1721.06
321,11.2,6.22,3724.232,1.86,-1708.94
322,11.9,6.86,3731.092,0.42,-1691.92
323,10.5,5.46,3736.552,5.98,-1665.06
324,8.2,3.8,3740.352,0.38,-1648.84
325,7.6,2.66,3743.012,2.38,-1623.68
326,8.7,3.86,3746.872,4.74,-1599.68
327,10.7,5.72,3752.592,3.52,-1594.34
328,10.6,5.58,3758.172,2.78,-1583.84
329,10.0,5.04,3763.212,5.86,-1561.8
330,10.4,5.42,3768.632,4.3,-1546.58
331,9.8,4.9,3773.532,2.16,-1533.14
332,7.9,3.02,3776.552,0.32,-1522.26
333,7.9,2.88,3779.432,4.86,-1500.4
334,9.1,4.26,3783.692,0.22,-1489.02
335,8.8,4.4,3788.092,3.78,-1466.48
336,8.4,3.64,3791.732,2.76,-1453.94
337,8.4,3.4,3795.132,2.44,-1441.16
338,7.3,2.26,3797.392,5.42,-1419.62
339,8.8,3.78,3801.172,4.34,-1399.14
340,9.0,4,3805.172,3.1,-1377
341,10.1,4.08,3809.252,5.16,-1353.12
342,8.4,3.72,3812.972,3.28,-1330.16
343,9.5,4.6,3817.572,5.94,-1310.9
344,8.4,3.76,3821.332,0.16,-1294.34
345,8.3,4.38,3825.712,2.88,-1279.68
346,8.7,4.62,3830.332,1.46,-1269
347,6.8,3.02,3833.352,0.32,-1255.86
348,7.6,3.58,3836.932,0.36,-1244.14
349,9.0,4.72,3841.652,2.8,-1233.58
350,9.2,4.96,3846.612,1.8,-1221.18
351,9.4,4.4,3851.012,0.6,-1206.32
352,11.3,6.26,3857.272,11.22,-1187.2
353,10.8,5.78,3863.052,5.22,-1185.02
354,8.8,3.8,3866.852,0.02,-1174.86
355,9.8,4.84,3871.692,1.26,-1166.28
356,10.8,5.78,3877.472,2.86,-1158.7
357,10.2,5.24,3882.712,0.42,-1155.18
358,9.7,4.72,3887.432,3.66,-1143.28
359,9.6,4.58,3892.012,4.14,-1128.86
360,8.7,3.66,3895.672,1.04,-1113.84
361,9.7,4.66,3900.332,2.5,-1099.78
362,9.6,4.64,3904.972,2.24,-1089.02
363,9.0,3.98,3908.952,1.16,-1077.14
364,11.0,6.04,3914.992,6.1,-1066.02
365,9.8,5.24,3920.232,2.6,-1058.84
