Recent_2020_2024_60
DOY,MeanTemp_avg,DailyGDD_avg,CumulativeGDD_avg,Rain_mm_avg,MoistureProxy60_avg
73,8.0,2.7,144.2,2.7,-505.5
74,8.0,3.0,147.2,7.3,-511.1
75,8.9,3.7,150.9,2.3,-518.1
76,9.0,3.4,154.3,3.7,-524.9
77,9.8,4.3,158.6,0.2,-539.1
78,8.0,3.4,162.0,2.5,-545.7
79,9.6,4.5,166.5,1.7,-556.3
80,10.2,4.6,171.1,3.0,-563.7
81,9.6,4.0,175.0,1.3,-574.1
82,9.1,3.7,178.7,1.5,-584.0
83,8.8,3.7,182.4,1.1,-591.5
84,9.7,4.5,186.8,5.0,-594.9
85,8.8,3.9,190.7,8.0,-595.3
86,8.7,3.6,194.2,2.6,-601.3
87,8.1,2.8,197.0,5.3,-603.3
88,9.0,3.6,200.5,2.5,-610.5
89,9.8,3.8,204.3,6.4,-614.0
90,8.9,3.2,207.6,2.1,-615.9
91,9.4,3.9,211.5,3.1,-620.3
92,8.8,3.2,214.7,1.5,-622.8
93,7.5,2.7,217.3,3.7,-624.9
94,7.4,2.5,219.8,2.1,-624.5
95,8.9,4.0,223.8,5.6,-623.0
96,9.9,5.4,229.2,3.5,-625.9
97,8.2,3.6,232.8,2.1,-630.9
98,7.8,3.3,236.1,2.0,-638.1
99,7.8,4.1,240.2,5.3,-641.8
100,8.3,4.7,244.9,0.9,-653.0
101,8.5,5.2,250.1,6.0,-657.3
102,8.7,5.4,255.6,2.8,-669.0
103,9.2,4.9,260.5,1.8,-679.8
104,9.4,4.8,265.2,0.1,-698.8
105,9.4,3.9,269.1,0.6,-707.5
106,9.8,4.8,273.8,0.2,-718.8
107,9.8,5.4,279.2,1.0,-738.7
108,8.4,4.0,283.2,2.4,-741.0
109,8.2,4.0,287.2,0.5,-750.4
110,9.9,5.4,292.6,0.0,-759.0
111,9.6,5.1,297.7,1.9,-764.4
112,9.8,5.5,303.3,2.3,-779.4
113,9.4,5.3,308.5,0.6,-788.7
114,10.2,6.1,314.6,0.5,-802.5
115,9.6,5.2,319.8,0.0,-813.5
116,9.9,5.2,325.0,0.1,-824.0
117,9.2,4.7,329.7,4.6,-831.7
118,9.9,5.2,334.9,6.0,-837.2
119,10.1,5.2,340.1,2.5,-846.4
120,9.3,4.0,344.1,8.1,-852.1
121,9.6,4.4,348.5,4.2,-863.5
122,9.9,4.8,353.2,2.2,-873.6
123,10.7,5.6,358.8,0.2,-886.7
124,10.3,5.2,364.0,2.1,-895.4
125,11.0,6.2,370.2,4.4,-909.4
126,11.5,6.1,376.3,1.4,-920.8
127,11.9,6.8,383.1,2.1,-936.0
128,11.0,6.5,389.7,6.9,-944.2
129,11.7,7.4,397.0,6.3,-954.5
130,12.6,8.4,405.4,1.5,-976.8
131,12.9,8.6,414.0,1.1,-990.7
132,12.1,6.1,420.1,0.9,-1004.0
133,12.5,6.6,426.6,3.5,-1011.2
134,11.8,6.3,433.0,4.7,-1016.5
135,12.1,6.2,439.2,4.4,-1025.8
136,12.4,6.9,446.0,2.1,-1032.3
137,12.8,7.3,453.3,3.4,-1040.5
138,12.5,7.3,460.6,1.8,-1044.9
139,12.8,7.5,468.1,2.7,-1052.9
140,13.5,8.4,476.5,0.7,-1061.6
141,13.3,8.5,485.0,1.1,-1071.4
142,13.2,8.6,493.6,5.3,-1076.8
143,11.9,7.3,500.9,2.9,-1082.7
144,11.1,6.4,507.3,6.1,-1083.3
145,11.8,7.2,514.5,1.5,-1092.3
146,12.1,7.2,521.8,4.6,-1102.5
147,12.9,8.3,530.1,0.4,-1114.2
148,12.5,8.4,538.4,1.3,-1129.5
149,13.4,9.2,547.6,2.1,-1141.1
150,13.7,9.3,556.9,1.6,-1157.0
151,13.6,9.2,566.1,0.0,-1171.0
152,13.6,9.5,575.6,0.0,-1185.5
153,14.4,10.0,585.6,0.5,-1200.2
154,15.6,11.4,597.0,5.1,-1216.4
155,14.7,9.4,606.4,0.6,-1231.7
156,13.8,8.3,614.8,1.0,-1245.0
157,12.6,7.7,622.4,1.8,-1251.2
158,14.5,8.3,630.8,2.4,-1260.5
159,14.4,8.9,639.7,0.1,-1273.8
160,15.3,9.7,649.4,3.2,-1287.1
161,14.5,8.9,658.2,0.5,-1295.9
162,15.4,9.7,667.9,12.9,-1297.9
163,14.8,9.3,677.2,1.0,-1307.3
164,15.3,10.0,687.1,2.1,-1317.0
165,15.1,9.6,696.7,3.7,-1323.1
166,15.3,9.9,706.7,1.2,-1334.7
167,15.1,10.0,716.6,0.5,-1344.9
168,16.6,11.3,727.9,1.4,-1356.1
169,15.2,10.0,737.9,5.6,-1365.0
170,14.8,9.4,747.3,8.8,-1367.5
171,14.9,9.7,756.9,10.3,-1365.8
172,15.7,10.6,767.5,3.8,-1374.7
173,15.6,10.4,777.9,1.1,-1385.5
174,16.0,10.3,788.2,0.3,-1395.9
175,16.0,11.5,799.6,1.6,-1405.7
176,16.1,12.1,811.7,3.2,-1416.3
177,15.3,11.6,823.3,0.7,-1428.5
178,15.4,10.2,833.6,3.2,-1440.9
179,15.1,9.9,843.5,10.8,-1445.6
180,15.1,9.7,853.2,2.1,-1455.0
181,14.0,8.9,862.0,3.0,-1469.8
182,15.5,10.2,872.2,1.2,-1484.4
183,14.9,9.9,882.1,0.7,-1496.1
184,14.5,9.5,891.6,1.1,-1503.0
185,14.0,8.8,900.4,7.4,-1504.9
186,14.5,9.5,909.9,3.2,-1512.8
187,14.7,9.6,919.5,7.4,-1513.9
188,15.5,10.3,929.8,2.0,-1520.8
189,16.5,10.7,940.4,1.1,-1534.9
190,16.2,10.9,951.4,4.3,-1544.0
191,15.9,10.7,962.0,8.5,-1541.7
192,16.8,11.1,973.2,3.4,-1544.6
193,16.2,10.8,983.9,7.2,-1547.5
194,16.5,11.2,995.2,3.7,-1556.8
195,16.0,10.7,1005.8,5.8,-1564.4
196,15.8,10.7,1016.5,2.9,-1574.8
197,15.8,10.6,1027.1,4.0,-1580.5
198,17.7,12.5,1039.6,0.1,-1594.3
199,18.9,13.6,1053.2,0.5,-1608.0
200,19.5,13.8,1067.0,1.5,-1621.7
201,18.0,12.6,1079.6,0.8,-1630.2
202,17.1,11.6,1091.1,2.3,-1635.1
203,17.1,11.8,1102.9,5.0,-1641.7
204,17.5,12.1,1114.9,1.3,-1652.8
205,17.3,11.6,1126.5,2.4,-1666.8
206,16.2,11.3,1137.8,3.7,-1672.7
207,16.0,11.2,1149.0,5.0,-1680.2
208,15.7,10.7,1159.7,2.3,-1683.2
209,16.3,11.4,1171.1,1.3,-1689.1
210,16.2,11.0,1182.1,1.8,-1693.0
211,16.2,10.8,1192.8,3.9,-1693.6
212,16.8,11.8,1204.6,1.2,-1697.7
213,17.7,13.1,1217.7,3.5,-1701.3
214,17.6,12.3,1230.0,2.9,-1703.6
215,16.4,11.2,1241.2,0.8,-1707.4
216,15.4,10.2,1251.4,1.5,-1708.0
217,14.9,9.5,1261.0,1.7,-1709.7
218,15.6,10.8,1271.8,3.5,-1714.3
219,15.9,11.2,1283.0,2.0,-1720.5
220,15.7,11.7,1294.7,2.0,-1724.2
221,17.4,12.5,1307.2,2.8,-1730.2
222,17.9,13.0,1320.2,0.3,-1738.7
223,18.6,13.7,1333.9,0.7,-1759.0
224,19.0,14.3,1348.2,0.6,-1769.6
225,18.5,14.1,1362.3,2.8,-1777.2
226,18.1,13.9,1376.2,1.0,-1788.3
227,17.7,12.7,1388.9,3.9,-1791.2
228,16.8,12.3,1401.2,2.5,-1793.8
229,16.6,11.6,1412.7,0.1,-1795.7
230,15.9,10.8,1423.5,6.6,-1796.2
231,16.4,11.5,1435.0,6.3,-1803.0
232,16.3,11.5,1446.5,3.1,-1813.9
233,16.4,11.3,1457.9,2.6,-1816.7
234,16.9,11.9,1469.7,3.6,-1817.2
235,17.5,12.2,1481.9,1.7,-1819.5
236,16.6,11.4,1493.3,2.6,-1818.3
237,15.3,10.5,1503.7,6.1,-1812.2
238,14.8,10.0,1513.8,1.1,-1808.6
239,16.3,11.4,1525.2,2.3,-1811.8
240,16.2,10.9,1536.1,7.5,-1817.2
241,15.8,10.5,1546.6,1.2,-1819.6
242,15.5,10.0,1556.5,3.2,-1821.5
243,15.4,10.0,1566.5,0.6,-1821.7
244,16.1,10.4,1576.9,0.5,-1823.0
245,16.8,11.3,1588.2,0.6,-1827.1
246,16.6,11.1,1599.2,3.9,-1835.1
247,16.9,11.7,1610.9,3.2,-1839.4
248,17.3,11.7,1622.6,1.2,-1849.6
249,16.7,11.1,1633.7,5.8,-1847.5
250,18.2,12.5,1646.2,4.2,-1848.0
251,18.3,12.4,1658.5,6.8,-1848.3
252,17.3,12.4,1670.9,6.3,-1853.9
253,17.4,12.1,1683.0,1.3,-1857.8
254,16.0,10.6,1693.6,1.4,-1863.3
255,16.1,10.1,1703.7,0.3,-1864.5
256,14.7,9.7,1713.4,2.3,-1866.1
257,14.6,9.8,1723.2,0.8,-1866.4
258,15.2,11.0,1734.2,3.4,-1867.8
259,14.8,10.4,1744.6,1.5,-1862.1
260,15.2,10.8,1755.4,3.1,-1853.9
261,14.0,9.8,1765.1,0.9,-1846.5
262,15.1,9.9,1775.0,4.3,-1837.6
263,15.3,10.5,1785.5,1.5,-1836.2
264,13.9,9.7,1795.2,2.1,-1834.9
265,14.1,10.1,1805.2,4.7,-1827.4
266,14.4,9.4,1814.6,3.7,-1821.7
267,14.4,9.1,1823.7,2.8,-1818.3
268,14.0,8.0,1831.7,7.0,-1809.9
269,14.6,8.7,1840.5,4.7,-1803.5
270,13.6,7.7,1848.2,12.4,-1785.2
271,12.4,7.0,1855.2,6.2,-1772.9
272,12.0,6.9,1862.1,5.5,-1763.5
273,11.8,7.2,1869.3,12.8,-1742.6
274,13.3,8.1,1877.3,7.2,-1729.0
275,14.0,8.1,1885.4,4.7,-1718.6
276,12.2,6.6,1892.0,4.1,-1706.2
277,12.4,7.1,1899.1,3.5,-1697.9
278,12.6,7.1,1906.2,13.8,-1681.1
279,13.0,7.5,1913.7,2.7,-1675.2
280,14.0,8.6,1922.3,4.3,-1667.8
281,14.1,8.8,1931.1,8.3,-1655.7
282,14.1,8.8,1939.9,2.6,-1648.4
283,13.9,8.1,1948.0,1.0,-1637.8
284,12.9,7.2,1955.2,2.4,-1623.1
285,11.9,6.8,1962.0,5.7,-1603.0
286,12.7,7.2,1969.2,4.5,-1587.4
287,11.7,6.4,1975.5,7.1,-1566.3
288,10.7,5.7,1981.2,0.6,-1555.6
289,12.0,6.4,1987.6,7.1,-1539.2
290,13.0,7.2,1994.9,1.9,-1528.8
291,13.3,7.5,2002.4,2.8,-1526.1
292,13.5,7.9,2010.3,4.8,-1520.3
293,13.8,8.2,2018.5,14.4,-1502.2
294,13.1,8.1,2026.6,11.5,-1486.9
295,11.4,6.8,2033.4,3.3,-1477.0
296,11.7,6.7,2040.0,2.5,-1465.2
297,11.0,5.9,2046.0,3.9,-1453.1
298,12.3,6.6,2052.6,6.8,-1444.7
299,12.6,6.9,2059.5,3.8,-1435.7
300,12.3,6.6,2066.1,5.7,-1422.9
301,12.4,6.9,2073.0,3.8,-1418.5
302,12.3,6.7,2079.7,14.9,-1397.3
303,12.5,7.2,2086.9,6.4,-1388.6
304,11.4,6.7,2093.6,13.0,-1369.7
305,11.1,6.5,2100.1,12.9,-1349.6
306,10.0,5.4,2105.5,6.8,-1331.6
307,8.9,4.2,2109.7,9.1,-1312.8
308,9.4,3.9,2113.7,3.0,-1297.5
309,9.9,4.4,2118.1,4.0,-1280.2
310,10.1,4.5,2122.6,4.8,-1268.0
311,10.9,5.5,2128.1,3.6,-1254.6
312,10.6,5.9,2133.9,3.8,-1244.6
313,9.7,5.2,2139.1,5.8,-1230.7
314,10.4,5.9,2144.9,4.3,-1215.3
315,11.1,6.0,2150.9,4.1,-1203.3
316,11.0,6.0,2156.9,6.2,-1189.0
317,10.5,5.2,2162.1,3.7,-1178.7
318,10.4,5.3,2167.4,8.1,-1162.3
319,10.0,5.1,2172.5,8.0,-1145.9
320,8.9,3.7,2176.1,6.1,-1127.9
321,9.6,4.4,2180.6,4.9,-1113.4
322,9.9,5.1,2185.7,4.9,-1100.1
323,9.3,4.9,2190.6,7.4,-1086.9
324,9.4,4.3,2194.8,9.9,-1066.1
325,7.9,2.9,2197.7,7.8,-1046.7
326,6.5,2.6,2200.3,6.8,-1028.5
327,7.2,2.7,2203.0,3.5,-1015.2
328,8.4,3.3,2206.3,13.2,-993.1
329,8.2,3.6,2209.8,3.5,-987.6
330,8.0,3.0,2212.9,8.1,-972.7
331,8.2,2.8,2215.7,3.8,-971.5
332,6.3,1.3,2216.9,2.1,-964.0
333,6.4,1.7,2218.6,1.2,-957.9
334,5.9,2.5,2221.1,2.4,-957.2
335,7.2,2.8,2223.9,7.9,-944.8
336,7.1,2.7,2226.6,2.8,-934.8
337,6.0,1.6,2228.2,9.7,-918.7
338,5.6,0.9,2229.1,8.8,-900.4
339,6.4,1.4,2230.5,7.8,-893.9
340,6.7,1.4,2231.8,8.5,-875.7
341,6.5,1.7,2233.5,7.7,-857.5
342,6.7,1.7,2235.2,7.1,-843.2
343,6.0,1.5,2236.7,3.4,-826.0
344,6.3,2.0,2238.6,9.0,-804.2
345,6.0,1.7,2240.4,3.6,-791.1
346,5.3,2.1,2242.5,4.4,-780.7
347,6.0,2.2,2244.7,2.1,-771.7
348,6.0,2.3,2246.9,2.3,-766.2
349,6.5,3.2,2250.2,0.6,-758.9
350,6.8,2.9,2253.0,9.0,-748.3
351,7.9,3.2,2256.2,2.3,-739.3
352,8.7,3.6,2259.8,14.9,-719.3
353,9.5,4.6,2264.3,14.5,-702.9
354,7.0,2.3,2266.7,1.7,-703.9
355,7.5,2.7,2269.4,5.0,-699.6
356,8.5,3.5,2272.9,7.2,-689.2
357,8.1,3.6,2276.5,4.5,-681.0
358,8.6,3.9,2280.4,6.5,-674.3
359,9.7,3.8,2284.2,5.1,-670.5
360,8.4,2.7,2286.9,6.6,-658.8
361,7.9,2.4,2289.4,15.6,-640.4
362,8.7,3.0,2292.4,7.5,-628.9
363,8.8,3.1,2295.5,11.7,-624.3
364,8.7,2.9,2298.4,7.8,-614.1
365,9.4,3.5,2301.9,5.1,-614.7
